path	primary_phase	review_dimension	disposition	notes
docs/audit-2026-05-03-claude/evidence/phase-13-workers/notes.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/evidence/phase-14-web-runtime/notes.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/evidence/phase-15-mobile-native/notes.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/evidence/phase-16-shared-contracts/notes.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/evidence/phase-17-security-privacy/notes.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/evidence/phase-18-testing/notes.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/evidence/phase-19-observability/notes.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/evidence/phase-20-cicd/notes.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/evidence/phase-21-docs/notes.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/evidence/phase-22-file-pass/notes.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/evidence/phase-23-journey-pass/notes.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/evidence/phase-24-planned-features/notes.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/evidence/phase-25-synthesis/notes.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/findings/register.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/findings/remediation-queue.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/findings/severity-model.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/findings/template.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/inventory/README.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/inventory/backend-src-counts.txt	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/inventory/directory-map.txt	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/inventory/exclusions.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/inventory/file-counts-by-phase.txt	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/inventory/file-counts-by-root.txt	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/inventory/file-disposition.tsv	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/inventory/git-status-short.txt	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/inventory/phase-map.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/inventory/planned-feature-matrix.tsv	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/inventory/scaffold-disposition.tsv	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/inventory/scaffold-files.txt	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/inventory/scaffold-git-status-short.txt	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/inventory/tracked-files.txt	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/inventory/web-app-counts.txt	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/inventory/workspace-files.txt	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/journeys/README.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/journeys/admin-journeys.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/journeys/adversarial-journeys.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/journeys/data-money-journeys.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/journeys/operational-journeys.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/journeys/planned-feature-journeys.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/journeys/user-journeys.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/plan.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/protocol/README.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/protocol/cold-audit-rules.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/protocol/evidence-protocol.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/protocol/execution-protocol.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/protocol/file-disposition-protocol.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/protocol/finding-protocol.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/protocol/planned-feature-protocol.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/protocol/review-dimensions.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/protocol/second-third-pass.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
docs/audit-2026-05-03-claude/tracker.md	25	plan-self-review	unreviewed	Claude audit scaffold file; review during fifth pass
