path	primary_phase	secondary_phases	disposition	evidence_refs	findings_refs	notes
apps/backend/src/admin/__tests__/audit-envelope.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/audit-tail-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/audit-tail.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/cashback-activity-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/cashback-activity.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/cashback-configs-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/cashback-monthly.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/cashback-realization-daily-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/cashback-realization-daily.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/cashback-realization.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/configs-history.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/credit-adjustments.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/discord-config.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/discord-notifiers.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/discord-test.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/handler.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/idempotency-ttl.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/idempotency.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/merchant-cashback-monthly.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/merchant-cashback-summary.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/merchant-flows.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/merchant-flywheel-activity-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/merchant-flywheel-activity.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/merchant-flywheel-stats.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/merchant-operator-mix.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/merchant-payment-method-share.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/merchant-stats-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/merchant-stats.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/merchant-top-earners.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/merchants-catalog-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/merchants-flywheel-share-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/merchants-flywheel-share.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/merchants-resync.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/operator-activity.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/operator-latency.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/operator-merchant-mix.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/operator-stats.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/operator-supplier-spend.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/operators-snapshot-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/orders-activity.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/orders-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/orders.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/payment-method-activity.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/payment-method-share.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/payout-compensation.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/payouts-activity-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/payouts-activity.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/payouts-by-asset.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/payouts-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/payouts-monthly.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/payouts.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/read-audit.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/reconciliation.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/refunds.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/settlement-lag.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/stuck-orders.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/stuck-payouts.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/supplier-spend-activity-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/supplier-spend-activity.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/supplier-spend.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/top-users-by-pending-payout.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/top-users.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/treasury-credit-flow-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/treasury-credit-flow.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/treasury-snapshot-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/treasury.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/user-by-email.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/user-cashback-by-merchant.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/user-cashback-monthly.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/user-cashback-summary.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/user-credit-transactions-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/user-credit-transactions.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/user-credits-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/user-credits.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/user-detail.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/user-flywheel-stats.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/user-operator-mix.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/user-payment-method-share.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/user-search.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/users-list.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/users-recycling-activity-csv.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/users-recycling-activity.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/__tests__/withdrawals.test.ts	18	05,06,07,08,09,10,11,12,13,16	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/asset-circulation.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/asset-drift-state.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/audit-envelope.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/audit-tail-csv.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/audit-tail.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/cashback-activity-csv.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/cashback-activity.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/cashback-configs-csv.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/cashback-monthly.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/cashback-realization-daily-csv.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/cashback-realization-daily.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/cashback-realization.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/config-history-handler.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/configs-history.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/credit-adjustments.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/csv-escape.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/discord-config.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/discord-notifiers.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/discord-test.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/handler.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/idempotency-constants.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/idempotency-store.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/idempotency.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/merchant-cashback-monthly.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/merchant-cashback-summary.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/merchant-flows.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/merchant-flywheel-activity-csv.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/merchant-flywheel-activity.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/merchant-flywheel-stats.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/merchant-operator-mix.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/merchant-payment-method-share.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/merchant-stats-csv.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/merchant-stats.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/merchant-top-earners.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/merchants-catalog-csv.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/merchants-flywheel-share-csv.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/merchants-flywheel-share.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/merchants-resync.ts	13	09,10,11,12,17,19	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/operator-activity.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/operator-latency.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/operator-merchant-mix.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/operator-stats.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/operator-supplier-spend.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/operators-snapshot-csv.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/orders-activity.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/orders-csv.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/orders-detail.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/orders.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/payment-method-activity.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/payment-method-share.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/payout-compensation.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/payouts-activity-csv.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/payouts-activity.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/payouts-by-asset.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/payouts-csv.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/payouts-detail.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/payouts-monthly.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/payouts-retry.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/payouts.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/read-audit.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/reconciliation.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
apps/backend/src/admin/refunds.ts	07	12,16,17,18	unreviewed			initial path-based assignment; confirm during phase 00
